segment,feature,mean_abs_shap
S6: 보통 (분류 외),NAME_CONTRACT_TYPE,0.03857595618212223
S6: 보통 (분류 외),CODE_GENDER,0.08750603838241917
S6: 보통 (분류 외),FLAG_OWN_CAR,0.002808549457766631
S6: 보통 (분류 외),FLAG_OWN_REALTY,0.004326758306470794
S6: 보통 (분류 외),CNT_CHILDREN,0.0008516307911209793
S6: 보통 (분류 외),AMT_INCOME_TOTAL,0.01420005222216375
S6: 보통 (분류 외),AMT_CREDIT,0.10608580571780206
S6: 보통 (분류 외),AMT_ANNUITY,0.07340318721438299
S6: 보통 (분류 외),AMT_GOODS_PRICE,0.14143302452950354
S6: 보통 (분류 외),NAME_TYPE_SUITE,0.0032219125886564204
S6: 보통 (분류 외),NAME_INCOME_TYPE,0.011883809789650472
S6: 보통 (분류 외),NAME_EDUCATION_TYPE,0.06816120377704371
S6: 보통 (분류 외),NAME_FAMILY_STATUS,0.043068651816037425
S6: 보통 (분류 외),NAME_HOUSING_TYPE,0.005947363576959099
S6: 보통 (분류 외),REGION_POPULATION_RELATIVE,0.009890677657826436
S6: 보통 (분류 외),DAYS_BIRTH,0.06483671383236847
S6: 보통 (분류 외),DAYS_EMPLOYED,0.08293194272714459
S6: 보통 (분류 외),DAYS_REGISTRATION,0.015440944217083837
S6: 보통 (분류 외),DAYS_ID_PUBLISH,0.04645279872655925
S6: 보통 (분류 외),OWN_CAR_AGE,0.07612262891583531
S6: 보통 (분류 외),FLAG_MOBIL,0.0
S6: 보통 (분류 외),FLAG_EMP_PHONE,0.0
S6: 보통 (분류 외),FLAG_WORK_PHONE,0.01956209114003301
S6: 보통 (분류 외),FLAG_CONT_MOBILE,0.00012556505054463592
S6: 보통 (분류 외),FLAG_PHONE,0.009688122919142577
S6: 보통 (분류 외),FLAG_EMAIL,7.375479486838434e-05
S6: 보통 (분류 외),OCCUPATION_TYPE,0.05862556478599735
S6: 보통 (분류 외),CNT_FAM_MEMBERS,0.0014440646706632319
S6: 보통 (분류 외),REGION_RATING_CLIENT,0.0006028587387984015
S6: 보통 (분류 외),REGION_RATING_CLIENT_W_CITY,0.03221577596930869
S6: 보통 (분류 외),WEEKDAY_APPR_PROCESS_START,0.017371768763425763
S6: 보통 (분류 외),HOUR_APPR_PROCESS_START,0.006934421938119584
